Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Très satisfait;Ce que je trouvent ses que mes consultations chez mon médecin ne sont plus rembourser par la CPAM et autre chause j avais fait une demande de Mutuel pas de réponse  mon médecin avait fait une feuille de consolidation pour mes séances de Kiné, j aimais on n a reçus aucun documents et pourtant le médecin de la CPAM  m avait envoyer un courrier comme quoi  mon médecin avait reçus un courrier mes elle ne la j a mais reçus donc j ai pas pu faire mes séances de kiné et aussi j avait envoyer la feuille de prise en charge que je donne au médecins et a la pharmacie j avais demande une autre feuille idem je ne les j aimais reçus je suis en invalidité ses dure pour moi d avancer les frais lier a mes séquelle je ne peu pas me permettre d avancer les frais liée au chirurgien et au kiné en plus je ne serrais pas rembourser
Assez satisfait;le problème c'est que je suis sourde, sur mon mobile ou site sur mon compte, impossible écrire sur messagerie pour le répondre. Inutile sur CHAT, pas surement. Très satisfait avec contact pour les sourds et malentendantes, c'est super ! Merci.
Très satisfait;Je n’ai pas un niveau intellectuel suffisant pour proposer des suggestions pertinentes. Désolé.Merci
Peu satisfait;répondre précisément aux questions soumises. Les réponses sont à mourir de rire, je pense que c'est n robot qui répond sur la base des items de la question
Assez satisfait;Raccourcir  les delà de réponses
Peu satisfait;Pour la pension d'invalidité,  j'ai rempli le document papier début septembre.  Il n'ont pas traité le dossier.  Début octobre,  comme je n'ai pas reçu ma pension,  je le suis connecté sur ameli et j'ai vu que j'avais le même document informatisé,  je l'ai aussi rempli. Comme je n'avais toujours pas ma pension,  j'ai appelé 4 fois, pour qu'on traite mon dossier.  Rien n'a été fait.  Du coup j'ai reçu ma pension le mois suivant, ce qui m'a entraîné des frais bancaires puisque je me suis retrouvé à découvert.
Très satisfait;Merci pour tout merci pour votre travail .La couverture sociale est importante pour tous .Notre santée depend de l assurance maladie,ce n est pas un droit mes une entraite tres importante entre cotisant ..
Assez satisfait;Traiter les documents envoyés (certificat d’accouchement) - les feuilles de soin envoyées en même temps ont été traités mais pas le certificat, c’est lunaire.
Très satisfait;Pour mon cas personnel, je suis tributaire de mon médecin psychiatre pour la suite de mon dossier car elle doit me faire un courrier, mais elle est débordée comme beaucoup de médecins malheureusement. Quand je téléphone à la CPAM j'ai toujours une écoute bienveillante et les informations dont j'ai besoin.
Assez satisfait;"Concernant le renouvellement de ma demande de CSS, il m'est impossible de l'effectuer en ligne parce que je ""ne rentre pas dans les cases"", je n'ai aucun revenu, je ne suis pas demandeur d'emploi, je ne touche aucune aide sociale.   (Explicatif : mon seul moyen de subsistance est mon épargne personnelle, je suis non imposable, je vis de manière très modeste, en moyenne avec 600€/mois. Mon cas étant apparemment inhabituel, je ne suis jamais parvenu à renouveler ma demande de CSS en ligne, il me faut soit appeler, soit prendre rdv via Ameli.)   Ayant des problèmes d'audition, j'utilise très rarement un téléphone...   Les capacité de Amelibot étant plutôt limitées, il serait bénéfique de pouvoir échanger en ligne, mais plus directement avec un humain, par exemple via la messagerie... au minimum de pouvoir répondre quand un sujet a été abordé par l'intermédiaire d'un formulaire de contact.  (et en améliorant l'ergonomie de la rubrique contact qui n'est pas des plus évidente à utiliser)."
Très satisfait;Que l'on puisse envoyer des documents par le compte Amelie
Peu satisfait;plus de clarté sur les remboursements sur Ameli et que tout soit mis sur la même feuille (remboursement, forfait, etc) Je ne comprends pas quand il est mis remboursement à un tiers alors que c'est moi qui ait payé et que je doive aller chercher ailleurs qu'on me retient les forfaits. J'ai été consulter 2 fois chez le médecin, 2 fois chez l'optamologiste, 1 radio et 1 échographie du doigt en 2023 et rien ne m'a été remboursé car c'est retenu pour le forfait????? et la réponse n'est pas très nette quand on me dit sur l'e-mail que ça m'est remboursé en même temps qu'on me paye pas because forfait.
Assez satisfait;Pouvoir envoyer par mail sur le compte ameli, les feuilles de soins. Le remboursement serait peut-être plus rapide???
Assez satisfait;Ce qui est dommage c'est de ne pas pouvoir envoyer un document par e-mail par la messagerie d'Ameli. Ex : feuille de soin ou autres documents.
Très satisfait;Pas d idée
Assez satisfait;Un peu plus de rapidité dans les délais de remboursement
Assez satisfait;rien à redire.Mer.ci
Assez satisfait;GROS PROBLEMES DE CODE CAR LORSQUE ON VA DANS LA BOITE EMAIL ET QU ON REVIENS SUR AMELIE ON REVIENT A ZERO?
Assez satisfait;En ce moment j’ai beaucoup de contacts avec ma CPAM par rapport au dossier de ma maman qui est hospitalisée. L’autre fois il y a eu un problème avec ses IJ qu’elle n’a plus touché pendant 4 mois. Si je n’avais pas pris un rdv téléphonique ma maman ne toucherait toujours pas son dû et j n’ai jamais été contactée ni prévenue qu’il manquait quelques jours sur ses bulletins de situation (étant donné qu’elle était retournée en réanimation quelques jours, ce n’était pas marqué sur ses bulletins S du SSR) j’aurais apprécié qu’on me prévienne rapidement au lieu d’attendre des mois sans verser un centime.
Assez satisfait;Pouvoir vous joindre plus facilement par téléphone
Assez satisfait;Ras
Assez satisfait;Lors d'un arrêt de travail maladie  initial en tant qu'assistante maternelle le délai de traitement de mon dossier à été très long  ( 4 mois ) avec des rdvs physiques pour sensibiliser sur ma détresse financière engendrée . Les justificatifs demandés étaient différents d'un conseiller à l'autre voire contradictoires . La mise en route à été très compliquée cependant dans la durée du même arrêt je n'ai plus à me plaindre ,le suivi et les paiements sont réguliers .
Peu satisfait;Étant multi employeurs en Cesu on me demande 1 ans de fiches de paie pour une demie journée ! !!!! C est insensé !
Très satisfait;Tout va bien Rien à redire
Très satisfait;faciliter l'envoie de message et de document via Ameli .
Peu satisfait;Je vais être très critique sur votre messagerie sur le compte Ameli. Pour émettre un message, il faut passer par Amelibot et faire au moins 4 clics pour accéder à la rédaction d'un message. Il n'est pas possible de répondre à vos messages ... C'est le parcours du combattant. Tout est fait pour freiner l'échange d'emails avec ma caisse.
Assez satisfait;Tros d'attente dans vos bureaux
Peu satisfait;Répondre au téléphone, je n'ai jamais réussi à avoir quelqu'un. Donc impossible de prendre rendez-vous.  Ne pas envoyer des réponses bateau qui n'ont aucun sens avec ma demande
Pas du tout satisfait;De la rapidité sur les indemnités et des reponses telephonique claire
Assez satisfait;Mieux expliquer comment faire enregistrer sa mutuelle sur la carte vitale
Très satisfait;Meilleur accessibilité au site mon compte améli.fr
Très satisfait;Pas de demandes
Assez satisfait;Augmenter le taux de remboursement
Pas du tout satisfait;Je demande le recalcul des indemnités journalières concernant mon accident de travail du 05 avril 2023 qui ne concernent que mon statut de salarié et pas celui de travailleur indépendant. Je demande aussi que la CPAM informe l'IRCEM DE LA NATURE DE MON ARRËT DE TRAVAIL : ACCIDENT DE TRAVAIL du 05 avril 2023 au 15 octobre 2023 pour que me soit versé un complément rapidement.
Assez satisfait;Avoir plus de précisions sur les franchises des boîtes de médicaments.
Assez satisfait;Pouvoir  envoyer  plus facilement  des mails avec mes propre questions. Sans avoir  les questions  du robot  qui sont  sans  rapport avec  mes questions
Très satisfait;Très satisfaite du renouvellement de la CMU
Peu satisfait;Mettre en place une boîte de messagerie direct, car on ne peut pas envoyer de documents via internet, nous sommes quand même en 2023 et tout se fait via internet, on est obligé d'avoir un compte Améli sur internet mais par contre impossible d'envoyer des documents via notre espace perso! Et on ne connait pas l'évolution de nos dossiers, il faut sans cesse appeler pour savoir où ça en ait, chaque conseillé dis une chose différente, 4mois pour avoir les indemnités du congé paternité, à raison d'un appel par semaine, c'est très long ! Quand on va en agence pour un rdv il n'y a qu'une personne qui reçoit, alors que l'on est tous en galère de rdv. Et dans les agences 1 personne travaille et les autres je ne sais pas trop ce qu'ils font, ils parlent à leur mari ou leur enfant au téléphone derrière leur ordi, parle de leur prime d'intéressement et de leur vacances, pendant que nous on attends. C'est impensable ! J'ai été vraiment choquée de voir comment vous travaillez dans certaines agences , et ça ne m'étonne pas qu'il y ait du retard à ce point si le personnel s'occupe d'abord de sa vie perso pendant ses horaires de travail. Si on faisait tous ça au travail le monde ne tournerait plus, Désolé mais il faut vraiment faire quelque chose !
Assez satisfait;Personnalisation du suivi par un agent dédié
Assez satisfait;Contact et suivi tripartite entre CEPAM, médecin et patient directement sur la plateforme afin d'éclaircir différents sujet
Assez satisfait;Être plus réactif sur les versements d'indemnités journalières car pour la plupart des personnes c'est un véritable besoin pour vivre ( remplacement de salaire) . Ces indemnités devrait être versé dans les 48h après réception des éléments de salaire de l'employeur.
Assez satisfait;"La CPAM m'a adressé un courrier me ""menaçant"" de ne plus prendre en compte un prochain retard de réception d'un arrêt de travail, alors que je n'étais EN RIEN responsable de ce premier retard (erreur de date de début d'AT du médecin prescripteur) et que j'ai moi-même (c'était en effet mon intérêt...) :  1/ détecté le problème (sur le site) d'absence de prise en compte d'un AT par la CPAM,   2/ interrogé la CPAM pour comprendre  3/ relancé (2 fois) le médecin prescripteur pour qu'il m'adresse un rectificatif.  4/ Adressé des réceptions le correctif d'AT à la CPAM dès réception. Cordialement"
Très satisfait;Parfait
Pas du tout satisfait;J’ai demandé à plusieurs reprise un relevé détaillé de la revalorisation de ma rente afin que ma complémentaire le prenne en compte et malgré plusieurs relance je l’ai toujours pas ! Donc ma complémentaire ne me paie plus
Assez satisfait;me contacter par téléphone ☎️ mais je prendrez bientôt contact avec la cpam
Assez satisfait;Juste remettre un service de messagerie. Plus simple et plus rapide que d'aller en agence ou par téléphone
Très satisfait;RAS
Assez satisfait;Pouvoir avoir une messagerie depuis le compte ameli
Pas du tout satisfait;tout est a revoir
Très satisfait;R.A.S.
Peu satisfait;me donner une personne referente à mon dossier  et arreter de me harceler tous les mois pour ne pas avoir de médecin traitant ! au lieu de m aider à en trouver un qui accepterait de me prendre ma fille et moi meme .  Après avoir visité et payé 6 médecins  , nous avons été refusée partout  car ils sont pleins.  Ma fille doit réaliser un dossier MDPH .... et  je me retrouve seule sans aucunes aides à part envoyés un annuaire !! que l on trouve sur internet tout seul.
Assez satisfait;Bonjour, Nous soutenir mes enfants et moi, Avec nos remerciements et reconnaissances,  Vous souhaitant de très belles fêtes de fin d'années  merci
Peu satisfait;Que nous contacte pour nos prestations en cas de problèmes ou changements pour nous aider et ne pas nous laisser sans rien ou dans comprendre la situation
Assez satisfait;le personnel est gentil et accueillant mais je pense que ça bloque ailleurs.4 mois pour être affilié en venant de la msa , beaucoup de stress , bp de démarches , de temps perdu , pour enfin arriver à ce que tout soit enfin en règle .... BREF 20 ANS QUE JE N Y AVAIS PAS MIS LES PIEDS ET RIEN N A CHANGE , TOUJOURS LA GALERE
Assez satisfait;Recevoir une notification de courriel reçu sur mon espace améli
Assez satisfait;Je suis aussi à la  $MDPH   comme malvoyant et au une uestion sur cela, merci d'écrire plus gros   merci  Salutation JpK
Peu satisfait;Répondre aux questions ...
Très satisfait;RAS
Assez satisfait;Davantage de personnes pour répondre au téléphone. Pas de réponse générique sans avoir pris en compte la nature de la demande. Montrez que la CPAM est intéressée par les demandes des usagers.
Peu satisfait;Attendre 6 semaines pour percevoir ses indemnités journalières en congé maternité est une honte
Peu satisfait;Recruter des gens compétents et arrêter les plateformes téléphoniques
Peu satisfait;J’ai besoin d’être recontactée pour le dossier en cours : prise en compte des indemnités pôle emploi de moins d’un an pour mes indemnités journalières (actuellement auto entrepreneur)
Très satisfait;Être mieux remboursée pour les frais dentaires.
Peu satisfait;FACILITER L ACCES A AMELI
Assez satisfait;Facilité l'envoi de mails
Assez satisfait;au niveau des mots de passe d’accès,a améliorer
Assez satisfait;Attend trop long au téléphone,
Assez satisfait;Aucun commentaire
Assez satisfait;J'ai besoin de changer mon nom d'usage sur ma carte vitale
Très satisfait;réduire le délai de traitement de dossier
Assez satisfait;Être plus rapide dans le règlement des IJ. Mon derni arrêt en août réglé en octobre...
Très satisfait;NEANT
Assez satisfait;Prévenir les gens à l avance quand on arrive en fin de droit cmu/ACS Nous aider à trouver  un médecin  referend lorsque l on est en ALD
Assez satisfait;Être plus disponible au téléphone car je n ai toujours pas réussi à joindre le service medical et je n ai pas pu donner les renseignements qu on m a demandé
Peu satisfait;Par rapport au remboursement du parcours psy.  J'ai demandé l'ordonnance au médecin après que la psy m'ai faite la première consultation. Retardement de remboursement d'une belle somme , 2 allers retours pour réussir à revoir le médecin urgentiste pour réussir à ravoir une prescription anti datée, 2 timbres pour renvoyer l'ordonnance, beaucoup de frais, quand un mail est gratuit et à l'impact moindre sur l'environnement.
Très satisfait;Ras
Assez satisfait;améliorez vos délais de réponse : j'ai été obligé d'envoyer 2 mails concernant la même demande (envoi de ma prise en charge de la cure) : je n'avais pas eu de réponse à ma première demande et la cure allait commencer.
Très satisfait;Plus de facilité pour la gestion des pensions d'invalidté svp
Assez satisfait;Après 8 mois d'arrêt maladie j'aimerais voir un médecin conseil expert
Peu satisfait;Aucune compréhension de ma situation personnelle.  Opérée 2 fois de lourdes opérations, plus de travail suite à un arrêt maladie du aux opérations, mes indemnités journalières pas prises en comptes. Les français travailleurs trop oubliés.
Très satisfait;Continuer à être efficace.
Assez satisfait;Améliorer les délais de réponse
Très satisfait;??
Assez satisfait;Avoir plus de faciliter de rencontrer du personnel qualifié pour pouvoir expliquer plus rapidement notre situation et nous aider dans certaines démarches, pour les arrêts maladie, arrêts maladie en maladie professionnelle ou accident du travail. il y a trop de personne différentes pour un même dossier....
Très satisfait;Je ne suis pas en ALD.  Comment faire en cas de transport en ambulance pour être remboursée. Mme WACRENIER EVELYNE.     MERCI.
Pas du tout satisfait;"Le 3646 est IGNOBLE. Je n'ai pas pu régler les probleme de mon frere handicapé quand il a eu son AVC, car toutes vos procedures sont informatisées et n'étaient pas prévu pour le cas d'une pauvre type qui perd ses moyens et sa parole pour expliquer lui -meme au 3646 qu'il faut mettre a jour ses numeros de téléphone et adresse mail,. Il ne pouvait pas entrer dans son compte AMELI bloqué par ses essais infructueux de mot de passe. ( suite changement forcé d'operateur racheté), car a cause de cela il ne peut plus débloquer son compte ameli car il ne recoit pas le mot de passe a son vrai numero de téléphone . Avant son AVC cela faisait 3 mois déja qu'il avait des pob avec son compte AMELI.  Le 3646 a été ignoble en refusant de me laisser faire ces formalités pour lui alors qu'il était INCAPABLE de parler au téléphone, de réflechir, ou de prendre le temps de s'expliquer. et ce malgre les mails recommandes et emails , mandats signés par lui que je vous avais envoyés pour faire sa procuration et pour que vous faissier les mise a jour d'emails et téléphone.   Il a fallut que j'attende 3 mois qu'il soit capable de faire face a un pb administratifs compliqué comme celui-ci est d'articulier ""OUI"" et quelques moits pour qu'une operatrice, plus ouverte que les autres, me laisse prendre la suite de la conversation et procede au renovellemement de son compte AMELI. AMELI+3646 + le chat avec réponses automatiques est un CAUCHEMARD NUMERIQUE pour les gens vraiment dans le besoin."
Très satisfait;Si on pouvait envoyer des documents par mail sur le compte ameli ...cela me permettrait de ne pas me déplacer difficulté à conduire
Assez satisfait;"je n'arrive pas a me connecter a mon compte Ameli; j'ai tenté a plusieurs reprises , mais cane fonctionne pas"
Très satisfait;Maintenir le contact humain, l'informatique est utile mais en aucun cas ne remplace l'être humain.  Démarches informatiques simples et aide si besoin. Maintenir l'accueil humain.
Assez satisfait;Compliqué d envoyer des e-mails à la CPAM via le compte Ameli
Pas du tout satisfait;Traiter les demandes envoyées en évitant de perdre les courriers. Rembourser les soins pour lesquels ont lui fourni tous les justificatifs...
Très satisfait;Rien de plus je n'ai jamais rencontrer de problème...
Assez satisfait;Améliorer la facilité de contact par mail ou téléphone,  possibilité d'envoyer des pièces par mail (demande de cure,  remboursement de soins)
Assez satisfait;Plus de renseignements sur les personnes en situation de handicap
Très satisfait;Temps d'attente au téléphone trop long et un robot qui ne comprend pas toujours malgré la clarté des demandes
Assez satisfait;Qu'on puisse envoyer les document demander par mail ou par le site ameli
Assez satisfait;A ce jour je n'ai aucune suggestion à formuler. cordialement Patrick  Hecker
Assez satisfait;"Des Email simples et directs, au lieux des ""messageries"" alambiquées et des ""chatbot"" infernaux. Moins de généralités banales et super-présentées, et plus de réponses directes et efficaces."
Assez satisfait;Bonjour,  j'ai déclaré des maladies professionnelles, je trouve dommage qu'aucun medecin expert de la CPAM ne m'est convoqué et examiné mes problèmes liés à mon bras droit.
Assez satisfait;Signalement systèmatique et clairement exprimé du montant de la Fra'chise recuperable
Peu satisfait;Répondre favorablement à ma demande au sujet de remboursements de soins dentaires.
Assez satisfait;Bonjour  Quand nous sommes en maladie professionnelle comme moi , le temps de toucher les IJ sont beaucoup trop long , 4 mois sans revenus je me demande comment font les personnes seule avec ou sans enfants , c’est une galère.
Assez satisfait;Faciliter le changement de rib par mail
Peu satisfait;"j'ai sejourné 3 mois chez ma fille en Nouvelle Caledonie d'octobre 2022 à janvier 2023, étant en ALD j'ai acheté pour 1000€ de medicaments sur place qui ne sont pas remboursables ici d'après le code de la santé. J'ai contacté le mediateur qui m'a répondu la meme chose. Pire, j'ai eu un soin dentaire qui a été remboursé à 25%, pourtant non prévisible.  Avant de partir j'avais consulté AMELI et, sur le site, je n'ai pas obtenu la réponse correcte qui est de partir avec tous les médicaments (15 boites!), il faut dire que pour envoyer un mail via AMELI c'st la galère. J'avais aussi téléphoné et la réponse  a été ""munissez vous de la carte pour l UE"" !.  D'ailleurs la Nouvelle Caledonie ne figure nulle part: pas dans les pays étrangers car c'est la France, donc il y a un manque concernant la Nouvelle Caledonie sur AMELI. Pour moi je n'espère plus rien, mais pour les cas ulterieurs ... cordialement"
Assez satisfait;pour des cas très pointus nommer un interlocuteur dédié et compétent. Cela évite de dérouler tout le dossier à chaque contact devant des personnes certes très gentilles mais pas forcément compétentes pour les cas spécifiques
Assez satisfait;Tenir au courant de la réception du courrier et de son traitement
Pas du tout satisfait;repondre au tel mail et courrier cpam injoignable devant la machine a cafe
Peu satisfait;Avoir les personnes compétentes qui suivent notre dossier au téléphone
Très satisfait;que les dossiers soient plus rapidement traité. Mais je sais que les agents font le nécessaire.   Un petit point que je trouve important vu le déficit de nos caisse.  J'ai été opéré de la coiffe de l'épaule droite. Je pose surement une question idiote.  Mais pourquoi nous faire passer. D'abord une Radio, puis un Scanner et, après un IRM. Alors que le praticien m'avait dit. Que seul à L'IRM on pouvait voir ce que j'avais. il m'avait dit que c'était l'ordre établi par la CPAM.
Assez satisfait;Echanger verbalement, car internet et moi font deux
Assez satisfait;Pour le moment je nai rien a signaler  a part du retard dans les arrêts de travail car je  nai qu un salaire
Assez satisfait;"Très difficile de répondre à cette question. CPAM reste une énorme machine très complexe à utiliser et cela se ressent immédiatement lorsque l'on se connecte au site. On sent très bien que de gros efforts sont fait par les informaticiens pour faciliter l'accès à tout le monde quelque soit le problème à résoudre. Je pense que lors de la conception du site il faut ""penser assuré"" et non CPAM on est souvent dérouté par la formulation des phrases, des questions ou encore des demandes utilisées sur certaines pages du site. Prenez quelques assurés et faites leur effectuer (sur papier) une demande de document, un demande de situation de remboursement etc...... Vous aurez déjà une première approche de la façon dont votre assuré ""fonctionne"" face à son problème de recherche ou de renseignement cela vous permettra de répondre le plus simplement possible à sa demande. Bon courage à vous car vous êtes face à un problème vraiment très complexe. Honnêtement, je suis déjà très surpris par la qualité du service internet que vous offrez à ce stade. De nos jours il y a de plus en plus de gens âgés qui vivent seuls et qui doivent se débrouiller avec l'informatique, ceux-là aussi vous devez les prendre en compte dans vos formulations !...."
Assez satisfait;Je ne sais comment envoyer un mail.
Assez satisfait;Difficultés  d acces au compte ameli
Très satisfait;Au niveau de la mise à jour des informations sur l’invalidité, nous ne recevons pas d’éléments pour dire que la mise à jour a été faite et bien pris en compte… un retour disant que votre dossier est à jour avec un récapitulatif serait beaucoup plus simple
Très satisfait;Je n'ai pas de suggestions, car tout ce passe bien.
Très satisfait;Ras
Assez satisfait;Plus de demarche  enligne
Assez satisfait;difficulté d 'envoyer un courrier pour obtenir une réponse personnelle.  puis réponse générale et non personnelle. ensuite pas de possibilité de communication via mail (pouvoir répondre ou demander des infos plus précises)
Très satisfait;Ras
Assez satisfait;Un contact téléphonique facile plutôt que d'envoyer les messages sur le site Web.
Assez satisfait;Traiter les arrêts plus rapidement
Très satisfait;Continuer comme vous le faites! Merci.
Pas du tout satisfait;une simplification  rendez vous par visioconferences completement nul   impossible d'avoir un rendez vous a la cpam et quand il y a rendez vous la personne vous dit qu'elle ne pourra tout traiter votre dossier et vous envoie aux compte ameli ( 100 kms en voiture perdue !!!!! )  quant aux reste a charge il est tellement important que je vais arreter de me soigner   j ai une petite retraite qui n'a pas augmentée depuis 17 ans que je suis a la retraite
Assez satisfait;Bonjour, avoir des antennes dans les petites villes ou les personnes peuvent avoir un RDV, ou déposer leurs feuilles de soins.
Pas du tout satisfait;comment faire pour entrer le code de sureté lors de l'ouverture d'ameli , car ce matin, j'en suis à mon 3ème essai et rien du tout, donc je ne peux pas voir mes remboursements et à force de demander x renseignements et codes, vous ne vous mettez pas à la place des retraités. Je pense que les personnes qui font vos programmes informatiques ne réfléchisses pas beaucoup aux difficultés que peuvent avoir les retraités dans la complication des codes!!!!!!!!!!!!!!!!!
Assez satisfait;non délai trop long pour 1 remboursement que ma mutuelle attendait.
Assez satisfait;Contact par téléphone quand réponse trop technique
Pas du tout satisfait;Accident du travail depuis le 3 juin toujours pas indemnisé
Assez satisfait;Meilleur traitement pour remboursement frais à l’étranger
Assez satisfait;Remboursement toujours pas de nouvelles de la responsable.
Très satisfait;Ayant été reçu dans le cadre d'une assistance sociale, je peux dire que j'ai découvert une personne très à l'écoute et ayant la véritable volonté de venir en aide aux autres. C'est la seconde fois en six ans que je rencontre une assistante sociale de vos services et chacune de ces rencontres a été vraiment bénéfique pour moi donc, je ne vois aucune raison de changer quelque chose. Et je vous invite à remercier les personnes de ce service.
Très satisfait;"Plus de facilité à se connecter sur améli, en particulier pour un couple marié, obligation d'avoir deux ""adresses mails"" ,et donc ""certaines informations en double""."
Très satisfait;Répondre au telephone si besoin
Très satisfait;Il faudrait que l'on puisse enfin envoyer les feuilles de soin par mail ou sur ameli. Par courrier c'est plus long, c'est moins pratique et ça coûte de l'argent. Merci
Très satisfait;Améliorer la réponse apportée par mail ou proposer uniquement le contact téléphonique. C'est très décevant de recevoir une réponse laconique et inadaptée à la situation particulière vécue à l'instant T. Je tiens à remercier chaleureusement les équipes téléphoniques et l'accueil qui était à l'écoute, topissime :)
Très satisfait;Accuser réception d'une demande de remboursement.
Assez satisfait;"Transmettre un sms de ""rappel"" afin de nous alerter de l'actualisation de la carte vital à une borne lorsque les 1 an sont passés : se serait un grand plus car difficile de s'en rappeler !"
Assez satisfait;Savoir comment envoyer un mail.  Moins d'attente lorsqu'on appelle
Peu satisfait;aucune indemnité journalière versé pendant mes arrêts de travail et ceci depuis toujours,dites moi pourquoi,je suis auto-entrepreneur,on m'a donné des versions différentes :1 fois il me manquait 10% sur le chiffre d'affaire,1 autre fois que je devais prendre une assurance complémentaire pour avoir droit à des indemnités journalières,je crois fermement qu'une partie du personnel est incompétent pour répondre à certaine questions posées. Cordialement guy Pélisson
Assez satisfait;De bien meilleurs remboursements.
Très satisfait;Je perçois une pension d'invalidité depuis 2014 (des suites d'un cancer du sein).  Avoir une aide pour recherche d'emploi adapté à ma situation physique et morale et ne pas perdre ma pension d'invalidité car cela m'angoisse tout le temps.
Assez satisfait;Délai contact téléphonique à améliorer
Assez satisfait;Bonjour, j'aimerais avoir des nouvelles de sur ce que je vous ai demander a propos de mon changement de catégorie
Peu satisfait;Nous rembourser davantage. Il a fallu que j'aille chez la psy, il faudrait que j' y revienne et je n'y reviendrai pas car j'ai perdu de l'argent. Idem pour la mutuelle. Il y en a qui ont tout gratuit et d'autres qui ne peuvent pas se soigner.
Pas du tout satisfait;Rembourser les frais médicaux à l'étranger qui datent de fin 2021. Une honte !
Très satisfait;Clarté du site après une demande de carte vitale. Il est un peu compliqué de savoir si la demande est prise en charge sur le dite Ameli. Heureusement on reçoit un mail de confirmation
Très satisfait;RAS
Assez satisfait;Le médecin contrôleur 10minutes pas de question sur mon état rien vraiment leger
Assez satisfait;Un accès plus simple à mon compte ameli: tous ces codes d accès...
Pas du tout satisfait;Trop trop d'attente pour avoir un conseiller jusqu'à plus d'heure d'attente téléphonique
Pas du tout satisfait;revenir 30 ans en arrière quand je travaillais à la CPAM d'Armentières 59280 quand on recevait les assurés sans rendez vous que nous avions un vrai contact un contact humain et pas comme maintenant, n'être que des numéros  maintenant tout doit se faire par mail et pour ce qui est du téléphone, je ne sais même pas si la cpam d'ajaccio a encore une ligne téléphonique.....
Pas du tout satisfait;Répondre a mes courriers
Assez satisfait;JE NE CONTACTE PLUS VOTRE SITE  CAR JE NE RECOIS PAS LE CODE PAR TELEPHONE
Très satisfait;r à s
Pas du tout satisfait;Ne pas perdre les documents importants pour être indemnisé RAPIDEMENT !!!!!!!!!
Peu satisfait;Contrôler les gens qui le mérite !!
Assez satisfait;Être plus rapide sur les délai de traitement ou encor les recalcule de salaire car j’ai était impacter sur le délai de recalcul car indemnisé au minima pendant 4 mois si ma femme n’aurait pas travaillé aujourd’hui jetait à la rue …
Très satisfait;prendre plus en compte les problèmes de vue , d'audition et dentaire qui sont des problèmes mal pris en charge par la CPAM
Assez satisfait;Amélioré les communications par compte Ameli et le rendre beaucoup plus intuitif.
Assez satisfait;Relier le remboursement à la prestation
Assez satisfait;Un exemple : prise de rdv en ligne : trop peu de sujets possible donc fonction inutile
Très satisfait;Faire apparaitre le motif du courrier lorsque l'on reçoit un mail, ça éviterait de devoir aller su le cite si ce n'est pas important.
Assez satisfait;Raccourcir le délai de remboursement des soins quand des sommes ont été engagées
Très satisfait;Aucune objection
Assez satisfait;je voudrais être informée sur ma prochaine retraite
Assez satisfait;Permettre d'effectuer toutes les démarches par internet afin d'éviter de devoir transmettre certaines informations par courrier uniquement (ex: pour le report du début du congé maternité)
Assez satisfait;Pouvoir adresser des dicuments via le site
Très satisfait;satisfait, toujours bien reçu.
Très satisfait;Rien garder vos collaborateurs professionnels et aimables
Peu satisfait;Améliorez le site internet pour l' envoi des documents autre que papier, comme la caf, adresser des documents papiers est une perte de temps et argent pour faire les photocopies à fournir.
Peu satisfait;- Personne disponible  - feuille de soins disponible plus rapidement  -remboursement plus rapide  - les horaires beaucoup plus larges -
Très satisfait;Pas de demande particulière  Service totalement satisfaisant
Pas du tout satisfait;Faire en sorte d'envoyer les documents par email et non pas par courrier car il ne sont pas reçus comme par exemple mon arrêt de travail avec accident ce qui me vaut une perte de revenu ...
Assez satisfait;Etre sur que ma situation personnelle est prise en compte.
Assez satisfait;Les personnes qui travaillent à la cpam ne disent pas tous les mêmes renseignements
Assez satisfait;Pouvoir joindre un conseiller plus facilement
Assez satisfait;Pouvoir échanger plus facilement des mails sur le compte Améli
Très satisfait;Je trouve déjà beaucoup tout ce qui est fait !
Assez satisfait;c'est difficile qu'on ne travaille pas j'ai besoin de un peu plus d'aide
Très satisfait;Me prevenir 6 mois à l'avance que je dois renouveler certaines prises en charge de type ALD qui s'arretent au bout de 5 ans
Assez satisfait;Pouvoir avoir plus de facilité en cas d'appel téléphonique
Très satisfait;La qualité du service client de la CPAM est à souligner, avec des agents compétents et compréhensifs qui ont su m'accompagner à chaque étape. Je salue également l'engagement de la CPAM en matière de prévention et d'information, contribuant ainsi à une meilleure sensibilisation sur les enjeux de la santé. Dans l'ensemble, je suis pleinement satisfait de la CPAM et je tiens à les remercier pour leur professionnalisme et leur dévouement envers les assurés. Cordialement
Assez satisfait;lors de mes appels téléphonique je n'ai jamais eu de correspondant et j'ai eu un supplément hors forfait sur ma facture téléphonique(10€). Concernant mes IJ j'ai regretté que l'on ne puisse pas prendre en compte mes derniers revenus  et non la moyenne des 3 dernières années. Je comprends que ce soit la loi mai 2020 et 2021 année covid le confinement a fait qu'on m'a empêche de travailler, donc pas de revenu pendant 9 mois. Je suis indépendant
Pas du tout satisfait;Avoir des conseillers en tchat ou possibilité de demander à être rappelé. Suivi des affiliation suite déménagement.
